reaction_smarts,count
[NH2;D1;+0:1]-[c:2]>>O=[N+;H0;D3:1](-[O-])-[c:2],723
[OH;D1;+0:1]-[c:2]>>C-[O;H0;D2;+0:1]-[c:2],721
[O;D1;H0:3]=[C:2]-[OH;D1;+0:1]>>C-C-[O;H0;D2;+0:1]-[C:2]=[O;D1;H0:3],525
[O;D1;H0:3]=[C:2]-[OH;D1;+0:1]>>C-[O;H0;D2;+0:1]-[C:2]=[O;D1;H0:3],482
[C:1]-[NH;D2;+0:2]-[C:3]>>[C:1]-[N;H0;D3;+0:2](-[C:3])-C-c1:c:c:c:c:c:1,468
[C:5]-[O;H0;D2;+0:6]-[S;H0;D4;+0:1](-[C;D1;H3:2])(=[O;D1;H0:3])=[O;D1;H0:4]>>Cl-[S;H0;D4;+0:1](-[C;D1;H3:2])(=[O;D1;H0:3])=[O;D1;H0:4].[C:5]-[OH;D1;+0:6],457
[OH;D1;+0:2]-[c:1]>>[c:1]-[O;H0;D2;+0:2]-C-c1:c:c:c:c:c:1,439
[O;D1;H0:3]=[C:2]-[OH;D1;+0:1]>>C-C(-C)(-C)-[O;H0;D2;+0:1]-[C:2]=[O;D1;H0:3],437
[Br;H0;D1;+0:1]-[CH2;D2;+0:2]-[c:3]>>O=C1-C-C-C(=O)-N-1-[Br;H0;D1;+0:1].[CH3;D1;+0:2]-[c:3],436
[#7:2]-[CH2;D2;+0:1]-[C:3]>>O=[C;H0;D3;+0:1](-[#7:2])-[C:3],367
[CH3;D1;+0:1]-[O;H0;D2;+0:4]-[C:3]=[O;D1;H0:2]>>O-[CH3;D1;+0:1].[O;D1;H0:2]=[C:3]-[OH;D1;+0:4],364
[c:2]:[c;H0;D3;+0:1](:[c:3])-[c;H0;D3;+0:4](:[c:5]):[c:6]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].O-B(-O)-[c;H0;D3;+0:4](:[c:5]):[c:6],333
[C:2]-[CH2;D2;+0:1]-[OH;D1;+0:3]>>O-[C;H0;D3;+0:1](-[C:2])=[O;H0;D1;+0:3],328
[C:1]-[CH2;D2;+0:2]-[NH2;D1;+0:3]>>[C:1]-[C;H0;D2;+0:2]#[N;H0;D1;+0:3],290
[C:1]-[CH;D2;+0:2]=[O;H0;D1;+0:3]>>[C:1]-[CH2;D2;+0:2]-[OH;D1;+0:3],284
[O;-;D1;H0:2]-[N+;H0;D3:1](=[O;H0;D1;+0:3])-[c;H0;D3;+0:5](:[c:4]):[c:6]>>O=[N+;H0;D3:1](-[O;-;D1;H0:2])-[OH;D1;+0:3].[c:4]:[cH;D2;+0:5]:[c:6],271
[OH;D1;+0:2]-[CH2;D2;+0:1]-[c:3]>>O-[C;H0;D3;+0:1](=[O;H0;D1;+0:2])-[c:3],253
[C:2]-[NH;D2;+0:1]-[C:3]>>O=C(-O-C-c1:c:c:c:c:c:1)-[N;H0;D3;+0:1](-[C:2])-[C:3],238
[C:2]-[NH;D2;+0:1]-[C:3]>>C-C(-C)(-C)-O-C(=O)-[N;H0;D3;+0:1](-[C:2])-[C:3],237
[NH2;D1;+0:1]-[CH2;D2;+0:2]-[c:3]>>[N;H0;D1;+0:1]#[C;H0;D2;+0:2]-[c:3],235
[C:2]-[O;H0;D2;+0:3]-[CH3;D1;+0:1]>>I-[CH3;D1;+0:1].[C:2]-[OH;D1;+0:3],233
